+------+--------------------------------------------------------------------------------------------------------------------------------+
| 编号 | 名称                                                                                                                           |
| 192  | 穆赫兰道 / Mulholland Dr. / 穆荷兰大道(台)  /  失忆大道(港)                                                                    |
| 193  | 荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台)                                                              |
| 194  | 终结者2：审判日 / Terminator 2: Judgment Day / 终结者2  /  终结者2：末日审判                                                   |
| 195  | 东京物语 / 東京物語 / 东京故事  /  Tokyo Story                                                                                 |
| 196  | 达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台)                                                        |
| 197  | 发条橙 / A Clockwork Orange / 发条桔子  /  发条橙子                                                                            |
| 198  | 非常嫌疑犯 / The Usual Suspects / 刺激惊爆点(台)  /  普通嫌疑犯                                                                |
| 199  | 末路狂花 / Thelma & Louise / 塞尔玛与路易丝  /  末路狂花                                                                       |
| 200  | 哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai                                                        |
| 201  | 被解救的姜戈 / Django Unchained / 被解放的姜戈  /  决杀令(台)                                                                  |
| 202  | 忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事                                                                          |
| 203  | 牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day                                                                |
| 204  | 美国丽人 / American Beauty / 美丽有罪(港)  /  美国心·玫瑰情(台)                                                                |
| 205  | 源代码 / Source Code / 启动原始码(台)  /  危机解密(港)                                                                         |
| 206  | 上帝也疯狂 / The Gods Must Be Crazy / 众神也疯狂 (上)  /  上帝一定发疯了 (上)                                                  |
| 207  | 黑客帝国3：矩阵革命 / The Matrix Revolutions / 骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪                        |
| 208  | 新龙门客栈 / 新龍門客棧 / New Dragon Gate Inn                                                                                  |
| 209  | 黄金三镖客 / Il buono, il brutto, il cattivo. / 好·坏·丑  /  独行侠决斗地狱门(港)                                              |
| 210  | 青蛇 / Green Snake                                                                                                             |
| 211  | 曾经 / Once / 一奏倾情(港)  /  曾经。爱是唯一(台)                                                                              |
| 212  | 爱·回家 / 집으로... / 外婆的家  /  回家路上                                                                                    |
| 213  | 蓝色大门 / 藍色大門 / Blue Gate Crossing  /  蓝色大门                                                                          |
| 214  | 勇士 / Warrior / 勇者无敌(台)  /  钢铁斗士(港)                                                                                 |
| 215  | 未麻的部屋 / Perfect Blue / 蓝色的恐惧  /  蓝色恐惧                                                                            |
| 216  | 小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台)                                                              |
| 217  | 初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事                                                  |
| 218  | 无耻混蛋 / Inglourious Basterds / 恶棍特工(台)  /  希魔撞正杀人狂(港)                                                          |
| 219  | 城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt                                  |
| 220  | 蝴蝶 / Le Papillon / The Butterfly  /  蝴蝶                                                                                    |
| 221  | 暖暖内含光 / Eternal Sunshine of the Spotless Mind / 暧暧内含光  /  美丽心灵的永恒阳光                                         |
| 222  | 麦兜故事 / 麥兜故事 / 麦兜的故事  /  My Life as McDull                                                                         |
| 223  | 与狼共舞 / Dances with Wolves / 与狼共舞                                                                                       |
| 224  | 爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台)                                                                          |
| 225  | 两小无猜 / Jeux d'enfants / 敢爱就来  /  宝贝游戏                                                                              |
| 226  | 巴黎淘气帮 / Le petit Nicolas / 小淘气尼古拉(台)  /  反斗小尼哥(港)                                                            |
| 227  | 无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险                                                                    |
| 228  | 夜访吸血鬼 / Interview with the Vampire: The Vampire Chronicles / 吸血迷情                                                     |
| 229  | 遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台)                                                                 |
| 230  | 爱在暹罗 / รักแห่งสยาม / 暹罗之恋  /  爱在暹罗广场                                                                              |
| 231  | 中央车站 / Central do Brasil / 千年等一天  /  Central Station                                                                  |
| 232  | 偷拐抢骗 / Snatch / 边个够我姜(港)  /  掠夺                                                                                    |
| 233  | 大卫·戈尔的一生 / The Life of David Gale / 铁案悬谜  /  命悬一线                                                               |
| 234  | 国王的演讲 / The King's Speech / 皇上无话儿(港)  /  王者之声：宣战时刻(台)                                                     |
| 235  | 血钻 / Blood Diamond / 血腥钻石  /  滴血钻石                                                                                   |
| 236  | 罪恶之城 / Sin City / 罪恶城  /  万恶城市                                                                                      |
| 237  | 荒岛余生 / Cast Away / 浩劫重生(台)  /  劫后重生(港)                                                                           |
| 238  | 月球 / Moon / 月劫余生(港)  /  寂寞月影                                                                                        |
| 239  | 寿司之神 / Jiro Dreams of Sushi / 次郎的寿司梦  /  梦见寿司的次郎                                                              |
| 240  | 千钧一发 / Gattaca / 变种异煞  /  自然人                                                                                       |
| 241  | 枪火 / 鎗火 / The Mission                                                                                                      |
| 242  | 疯狂的石头 / Crazy Stone                                                                                                       |
| 243  | 我爱你 / 그대를 사랑합니다 / 爱你  /  Late Blossom                                                                             |
| 244  | 廊桥遗梦 / The Bridges of Madison County / 麦迪逊之桥(港 / 台)                                                                 |
| 245  | 角斗士 / Gladiator / 帝国骄雄(港)  /  神鬼战士(台)                                                                             |
| 246  | 假如爱有天意 / 클래식 / 不可不信缘  /  缘起不灭                                                                                |
| 247  | 导盲犬小Q / クイール / 再见了！可鲁  /  Quill                                                                                  |
| 248  | 不一样的天空 / What's Eating Gilbert Grape / 恋恋情深  /  什么吞噬着吉尔伯特·格雷普                                            |
| 249  | 速度与激情5 / Fast Five / 狂野时速5(港)  /  玩命关头5(台)                                                                      |
| 250  | 我们俩 / Wo men lia  /  You and Me                                                                                             |
+------+--------------------------------------------------------------------------------------------------------------------------------+
